Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Exclusivity.perceptual,Exclusivity.action,Exclusivity.sensorimotor,Modality
a,2.214,0,0.429,0,0,2.429,0,0.357,1.071,0.357,0,0.479,0.6,0.354,Visual
a cappella,4.333,0,0.222,0.722,0,1.667,0.381,0.429,2.714,3.714,1,0.624,0.405,0.285,Auditory
aardvark,1.625,0.562,1.625,0.062,1.25,4.125,0.176,0.706,2.235,0.059,0.059,0.439,0.673,0.326,Visual
aback,1.294,0.059,0.294,1.353,0,2.824,0,0,3.273,0.364,0.182,0.485,0.857,0.339,Visual
abacus,1.556,0.167,3.722,0.278,0.111,3.944,0,2.474,2.632,0.105,0,0.392,0.505,0.263,Visual
abandon,0.941,0.118,0.294,2.118,0.059,2.176,1.1,0.7,2.45,0.55,0.9,0.371,0.333,0.21,Visual
abandoned,1.444,0,0.056,1.667,0,2.778,1.316,1.053,2.632,0.895,0.789,0.467,0.276,0.22,Visual
abandonee,1.938,0,1.375,0.562,0.25,3.938,0.765,0.882,1.824,0.941,1.059,0.488,0.194,0.291,Visual
abandoner,0.571,0,0.143,1.643,0,2.214,0.944,1.278,1.722,1,0.444,0.484,0.237,0.222,Visual
abandonment,2.133,0.067,1.2,2.933,0.067,3,0.524,0.429,2.143,0.714,0.333,0.312,0.437,0.217,Visual
abasement,2.833,0.167,0.667,1.25,0.167,3,0.429,0.952,2.143,1.571,0.667,0.351,0.298,0.205,Visual
abbreviate,2.4,0,0.15,0.45,0,2.65,0.158,2.105,2,1.789,0.211,0.469,0.311,0.222,Visual
abbreviated,1.889,0,0.278,0.444,0,3.111,0.3,0.8,2.2,2.25,0.3,0.544,0.333,0.269,Visual
abbreviation,2.737,0.053,0.158,0.474,0,3.947,0,0.444,1.333,1.111,0,0.536,0.462,0.385,Visual
abdicate,2.333,0.167,0.167,0.417,0.25,3.25,0.933,0.867,2.467,1.533,0.6,0.468,0.292,0.237,Visual
abdomen,0.588,0.235,3.294,2.353,0.235,3.647,0.263,1.316,0.947,0.211,4.158,0.33,0.573,0.229,Visual
abdominal,0.933,0.2,3.2,2.733,0.2,3.8,0.333,0.476,0.857,0.381,4.143,0.325,0.615,0.228,Visual
abdominally,0.412,0.471,0.882,2.059,0.176,1.353,0.158,0.368,0.632,0.316,3.474,0.352,0.67,0.322,Interoceptive
abduct,1.737,0,1,0.579,0.105,2.895,1.95,2.55,2.35,1.85,1.7,0.458,0.082,0.173,Visual
abductee,1.25,0.1,0.6,0.55,0.1,2.9,1.412,1.824,2.353,1.412,1.529,0.509,0.11,0.2,Visual
