Adj,Noun,Cosine,AdjMod,NounMod,ID,FullStimulus,CrossModality,Hierarchy,AdjFreq,NounFreq,PairFreq,AdjFreq_log10,NounFreq_log10,PairFreq_log10,PairAttested
malty,melody,0.049211961,Gustatory,Auditory,Item_1,malty melody,crossmodal,consistent,38,3289,0,1.579783597,3.517063873,0,not_attested
crimson,scent,0.04978158,Visual,Olfactory,Item_2,crimson scent,crossmodal,inconsistent,1250,6171,0,3.096910013,3.790355546,0,not_attested
perfumed,color,0.089316285,Olfactory,Visual,Item_3,perfumed color,crossmodal,consistent,323,83608,0,2.509202522,4.922247835,0,not_attested
perfumed,touch,0.073777602,Olfactory,Haptic,Item_4,perfumed touch,crossmodal,inconsistent,323,19791,0,2.509202522,4.296467739,0,not_attested
loud,flavor,0.087777719,Auditory,Gustatory,Item_5,loud flavor,crossmodal,inconsistent,8721,8901,0,3.940566286,3.949438801,0,not_attested
fragrant,touch,0.11754089,Olfactory,Haptic,Item_6,fragrant touch,crossmodal,inconsistent,2199,19791,1,3.342225229,4.296467739,0.301029996,attested
warm,music,0.192451314,Haptic,Auditory,Item_7,warm music,crossmodal,consistent,29782,117755,3,4.473953859,5.070979357,0.602059991,attested
smooth,scent,0.163892563,Haptic,Olfactory,Item_8,smooth scent,crossmodal,consistent,15270,6171,0,4.183839037,3.790355546,0,not_attested
perfumed,brightness,0.140686853,Olfactory,Visual,Item_9,perfumed brightness,crossmodal,consistent,323,2569,0,2.509202522,3.409764104,0,not_attested
noisy,taste,0.119006003,Auditory,Gustatory,Item_10,noisy taste,crossmodal,inconsistent,3277,16358,0,3.515476441,4.213730204,0,not_attested
bright,noise,0.236418598,Visual,Auditory,Item_11,bright noise,crossmodal,consistent,28810,18055,0,4.459543258,4.256597493,0,not_attested
smelly,feeling,0.224746261,Olfactory,Haptic,Item_12,smelly feeling,crossmodal,inconsistent,780,36772,0,2.892094603,4.565517251,0,not_attested
fragrant,gleam,0.267110498,Olfactory,Visual,Item_13,fragrant gleam,crossmodal,consistent,2199,939,0,3.342225229,2.972665592,0,not_attested
crimson,taste,0.208460434,Visual,Gustatory,Item_14,crimson taste,crossmodal,inconsistent,1250,16358,0,3.096910013,4.213730204,0,not_attested
warm,smell,0.247102383,Haptic,Olfactory,Item_15,warm smell,crossmodal,consistent,29782,11749,42,4.473953859,4.070000904,1.633468456,attested
beeping,neon,0.366281561,Auditory,Visual,Item_16,beeping neon,crossmodal,consistent,382,2490,0,2.582063363,3.396199347,0,not_attested
loud,color,0.350551781,Auditory,Visual,Item_17,loud color,crossmodal,consistent,8721,83608,2,3.940566286,4.922247835,0.477121255,attested
squealing,touch,0.314513796,Auditory,Haptic,Item_18,squealing touch,crossmodal,inconsistent,559,19791,0,2.747411808,4.296467739,0,not_attested
